idx,annotation,so_title,so_api,target_api,overlap_api,unk_token
311825,remove from list takes an array list and then removes the members from the visible classifications,who can access each LinkedHashMap from List Of LinkedHashMap,java.util.List.get,Collection . iterator Iterator . hasNext ArrayList . contains ArrayList . remove ArrayList . iterator Iterator . hasNext Long . equals ArrayList . contains ArrayList . remove ArrayList . clear,collection.iterator iterator.hasnext arraylist.contains arraylist.remove arraylist.iterator iterator.hasnext long.equals arraylist.contains arraylist.remove arraylist.clear,FALSE
98674,remove all <unk> that are in the bottom part of the machine,What is the difference between ArrayList.clear() and ArrayList.removeAll()?,java.util.ArrayList.clear,ArrayList . size ArrayList . remove,arraylist.size arraylist.remove,FALSE
984875,delete all given persistent instances,Remove TreeMap entries less than x,java.util.Map.keySet,List . iterator Iterator . hasNext Iterator . next,list.iterator iterator.hasnext iterator.next,FALSE
1044454,get this contacts accounts,who can access each LinkedHashMap from List Of LinkedHashMap,java.util.List.get,Map  . get Collections . unmodifiableList,map.get collections.unmodifiablelist,FALSE
260595,"get a yyyy mmm dd , HH : mm : ss",Parse a Date of MMMM YYYY format,java.text.SimpleDateFormat.parse,Calendar . getInstance Calendar . setTime Calendar . get Integer . toString Calendar . get Integer . toString Calendar . get Integer . toString Calendar . get Integer . toString String . length,calendar.getinstance calendar.settime calendar.get integer.tostring calendar.get integer.tostring calendar.get integer.tostring calendar.get integer.tostring string.length,FALSE
1005096,this method sets the value at the given position to the given value,Constrain Rectangle within Rectangle,"java.lang.Math.max,java.lang.Math.min,java.lang.Math.max,java.lang.Math.min",List < Double > . add List < Double > . set,list.add list.set,FALSE
1514344,compare a pure regex or pure string part with a given string,"How to match letters only using java regex, matches method?","java.util.regex.Pattern.compile,java.lang.String.matches,java.util.regex.Pattern.compile,java.lang.String.matches",String . replace String . substring Pattern . compile Pattern . matcher,string.replace string.substring pattern.compile pattern.matcher,FALSE
1116639,spherical law of <unk> : find distance in km between two latitude longitude co ordinates <unk> and <unk> as input are in decimal degrees <unk>,How to draw a circle with OpenGL(LWJGL specifically) using VBOs,"java.lang.Math.cos,java.lang.Math.sin,java.lang.Math.cos,java.lang.Math.sin",Math . toRadians Math . acos Math . sin Math . cos,math.toradians math.acos math.sin math.cos,FALSE
1517416,remove mt tags for export keep leading and trailing content,How to extract a date from a string and put it into a date variable in Java,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",String . replaceFirst String . equals String . replaceFirst String . equals String . replaceFirst String . equals String . replaceFirst,string.replacefirst string.equals string.replacefirst string.equals string.replacefirst string.equals string.replacefirst,FALSE
976577,get with the position of a paragraph in the <unk> array list the position of this paragraph in the paragraph array list,The correct way to return the only element from a set,java.util.List.get,List . get List . size,list.get list.size,FALSE
1522932,construct the layout using a string,Parsing string using the Scanner class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . split String . length String . charAt,string.split string.length string.charat,FALSE
351264,clean up resources,Reading a File Into a Derby Database,"java.lang.Class.forName,java.sql.DriverManager.getConnection,java.lang.Class.forName,java.sql.DriverManager.getConnection",Connection . close Statement . close ResultSet . close,connection.close statement.close resultset.close,FALSE
1396460,its used by model formatter,How to check if(Object) in Java?,java.util.List.remove,Stack < Formatter > . pop Stack . pop,stack.pop stack.pop,FALSE
502722,add a field to input component pair to the forms field to input map,Using string as name for objects in Java,"java.util.Map.get,java.util.Map.put,java.util.Map.get,java.util.Map.put","Field . getType Map < Type > . get Map < String , JComponent > . put",field.gettype map.get map.put,FALSE
297496,do a check whether two classes are accessible in the super sub class <unk> ship without walking thru any of the classes mentioned in the barrier,Can I get a reference to a calling class in a static method?,"java.lang.Thread.currentThread,java.lang.Class.forName,java.lang.Thread.currentThread,java.lang.Class.forName",Class . getSuperclass Class . getInterfaces,class.getsuperclass class.getinterfaces,FALSE
1455237,strip a leading and or trailing quote from the specified text,Java replacing special characters,"java.lang.String.replace,java.lang.String.replaceAll,java.util.regex.Pattern.quote,java.lang.String.replace,java.lang.String.replaceAll,java.util.regex.Pattern.quote,java.lang.String.replace,java.lang.String.replaceAll,java.util.regex.Pattern.quote",String . indexOf String . lastIndexOf String . substring,string.indexof string.lastindexof string.substring,FALSE
1381699,check whether a string can be parsed to a date and return that date,How to extract a date from a string and put it into a date variable in Java,"java.lang.String.indexOf,java.lang.String.substring,java.lang.String.indexOf,java.lang.String.substring",SimpleDateFormat . parse String . format,simpledateformat.parse string.format,FALSE
1110107,"pipe data from input stream to output stream , possibly <unk> them through the filter if any",sending negative bytes with tcp,java.io.Writer.write,Math . min InputStream . read OutputStream . write OutputStream . flush,math.min inputstream.read outputstream.write outputstream.flush,FALSE
1543358,get the raw flag content,Removing Characters within a string-Java,"java.lang.Character.isLetter,java.lang.Character.isDigit,java.lang.Character.isLetter,java.lang.Character.isDigit","String . toLowerCase Map < String , String > . get",string.tolowercase map.get,FALSE
1500880,"handle appending text , replacing selection , and then moving cursor",Delete Last and First Char in a String,java.lang.String.substring,String . length String . substring String . length String . substring String . length String . substring,string.length string.substring string.length string.substring string.length string.substring,FALSE
1418821,convert hex to <unk> words,Parsing string using the Scanner class,"java.lang.String.split,java.lang.Integer.parseInt,java.lang.String.split,java.lang.Integer.parseInt",String . charAt Integer . parseInt,string.charat integer.parseint,FALSE
